DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2010,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2011,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2012,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2013,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2014,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2015,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2016,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2017,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2018,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2019,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT31,2020,299,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2000,140,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2001,140,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2002,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2003,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2004,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2005,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2006,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2007,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2008,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2009,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2010,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2011,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2012,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2013,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2014,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2015,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2016,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2017,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2018,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2019,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT32,2020,144,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2000,182,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2001,182,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2002,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2003,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2004,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2005,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2006,189,
