DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2014,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2015,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2016,82.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2017,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2018,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2019,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT22,2020,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2000,78.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2001,79.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2002,79.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2003,79.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2004,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2005,79.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2006,80.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2007,80.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2008,81.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2009,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2010,81.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2011,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2012,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2013,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2014,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2015,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2016,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2017,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2018,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2019,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT31,2020,81.7,
