DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2014,30.0,b
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2015,31.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2016,27.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2017,30.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2018,30.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2019,32.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT21,2020,32.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2000,6.4,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2001,6.3,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2002,4.7,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2003,5.7,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2004,5.8,bu
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2005,4.2,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2006,,bu
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2007,4.6,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2008,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2009,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2010,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2011,4.7,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2012,9.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2013,6.5,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2014,25.1,b
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2015,32.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2016,30.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2017,29.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2018,31.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2019,29.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT22,2020,28.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2000,5.2,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2001,6.2,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2002,5.7,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2003,4.0,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2004,5.3,bu
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2005,6.1,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2006,,bu
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2007,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2008,3.5,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2009,4.5,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2010,6.6,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2011,4.3,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2012,4.3,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2013,3.7,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2014,24.5,b
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2015,26.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2016,27.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2017,27.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2018,29.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED5-8,Y20-24,PC,AT31,2019,31.3,
